,area,rent amount (R$)
248,25,1650
249,50,1130
250,90,1130
251,173,2000
252,91,2250
253,90,1200
254,530,15000
255,155,2790
256,40,1300
257,296,15000
258,87,1400
259,300,5000
260,136,4206
261,52,1340
262,94,2900
263,300,12750
264,100,3229
265,500,7300
266,240,4950
267,308,2000
268,350,4590
269,75,1450
270,155,11700
271,260,6000
272,80,1500
273,85,1998
274,120,3500
275,100,1970
276,240,3500
277,360,5270
278,42,1100
279,33,2800
280,48,1020
281,36,1130
282,270,4500
283,75,1200
284,46,1600
285,350,10000
286,131,1750
287,90,1300
288,26,1650
289,44,1100
290,70,1880
291,40,900
292,320,3200
293,213,5150
294,80,1100
295,70,800
296,60,1500
297,270,12850
298,70,1300
299,300,6000
300,220,12000
301,64,1600
302,80,1470
303,56,2500
304,161,10000
305,35,1350
306,720,12750
307,280,3200
308,96,2100
309,236,11000
310,81,1510
311,62,1650
312,125,1200
313,37,4150
314,60,4000
315,230,5000
316,210,8500
317,450,14000
318,234,3680
319,135,2450
320,395,6000
321,92,1700
322,412,3952
323,42,5300
324,33,3000
325,28,600
326,190,4450
327,165,6300
328,44,1200
329,60,1275
330,380,11000
331,73,830
332,19,1100
333,230,7500
334,37,2500
335,124,6600
336,115,2680
337,600,5500
338,700,15000
339,35,815
340,15,1100
341,80,1450
342,48,700
343,96,1500
344,150,6715
345,105,3300
346,204,10000
347,125,2600
348,50,2300
349,250,3740
350,300,2000
351,80,1500
352,130,1400
353,120,3300
354,540,15000
355,23,2100
356,15,2500
357,72,4000
358,95,2300
359,330,10000
360,75,6600
361,53,4398
362,178,1900
363,150,4000
364,50,1200
365,150,2500
366,25,984
367,210,12000
368,75,1500
369,200,15000
370,350,8000
371,49,1150
372,40,2000
373,45,4200
374,46,7600
375,80,11000
376,30,2850
377,80,2200
378,105,1530
379,105,2000
380,114,2570
381,200,7000
382,120,3000
383,60,4000
384,90,3000
385,53,1800
386,80,3000
387,87,1600
388,110,5000
389,113,4000
390,170,5000
391,150,3000
392,60,1500
393,43,2100
394,130,3500
395,69,1900
396,306,2500
397,187,3500
398,385,9000
399,355,7300
400,90,1100
401,190,5000
402,181,1400
403,350,3490
404,168,2900
405,73,2800
406,378,3000
407,60,1300
408,362,15000
409,90,1700
410,42,1973
411,56,1000
412,16,850
413,90,10000
414,67,850
415,488,6400
416,30,1100
417,290,8000
418,266,6400
419,47,900
420,590,8000
421,900,15000
422,86,2200
423,290,15000
424,84,3300
425,160,5000
426,37,3500
427,73,850
428,350,15000
429,57,1100
430,48,650
431,30,800
432,198,2000
433,47,1000
434,60,800
435,230,5000
436,90,1520
437,129,3255
438,240,6672
439,55,1020
440,52,1200
441,250,6000
442,200,10000
443,312,2300
444,230,9900
445,72,2480
446,55,2400
447,72,3600
448,50,1200
449,17,2700
450,160,2400
451,214,6520
452,65,1800
453,136,6500
454,70,1900
455,38,650
456,450,8000
457,67,2200
458,20,1100
459,41,1530
460,50,1550
461,205,5525
462,100,3300
463,190,15000
464,45,1350
465,57,800
466,88,1600
467,70,3400
468,76,2800
469,36,1370
470,61,2500
471,280,12500
472,480,5000
473,45,1950
474,42,1500
475,62,736
476,38,1500
477,44,2400
478,75,2800
479,66,1250
480,125,2800
481,62,1500
482,77,3100
483,136,4800
484,200,5000
485,35,1305
486,250,4500
487,90,4100
488,72,850
489,168,3500
490,360,13200
491,38,740
492,23,2300
493,440,10500
494,120,3500
495,90,2500
496,125,1632
497,200,5058
498,190,3260
499,123,2600
500,53,2000
501,70,2180
502,90,12200
503,95,1590
504,74,900
505,64,3600
506,155,6000
507,125,2200
508,40,1580
509,350,6522
510,417,7650
511,350,6000
512,40,2800
513,30,3500
514,142,4500
515,110,4000
516,100,10000
517,377,8000
518,230,8000
519,35,1800
520,32,2900
521,74,2024
522,147,1200
523,35,2500
524,26,1500
525,70,1700
526,150,2800
527,200,8000
528,60,1100
529,250,2550
530,44,3300
531,250,6000
532,157,4500
533,97,5600
534,548,15000
535,28,1325
536,250,10000
537,193,8900
538,428,9600
539,50,950
540,135,12300
541,103,1600
542,103,1360
543,80,1500
544,160,4000
545,238,10200
546,500,5500
547,580,15000
548,80,1370
549,210,2975
550,106,2250
551,30,1200
552,156,2000
553,60,1250
554,200,3600
555,70,1000
556,177,9200
557,103,2500
558,440,12000
559,65,1700
560,260,4000
561,200,4320
562,96,3050
563,68,2900
564,300,4500
565,34,750
566,398,8500
567,100,2600
568,176,6500
569,90,4000
570,680,8000
571,220,15000
572,110,2120
573,180,5500
574,36,1800
575,450,12700
576,103,3300
577,101,1800
578,196,6000
579,28,1980
580,260,4500
581,330,1870
582,70,1189
583,33,1200
584,160,10500
585,60,1350
586,36,1379
587,20,2060
588,70,750
589,180,4700
590,105,2150
591,275,9700
592,450,1512
593,360,7700
594,140,1900
595,900,8000
596,152,6000
597,280,8000
598,230,2500
599,92,2100
600,58,1100
601,41,1193
602,206,12000
603,214,5900
604,110,1710
605,100,777
606,80,1200
607,311,13000
608,200,15000
609,96,3200
610,140,6000
611,138,7070
612,140,3900
613,60,1250
614,40,600
615,178,10200
616,140,4900
617,72,1020
618,117,2700
619,35,977
620,42,890
621,29,1100
622,130,2150
623,100,5000
624,39,609
625,61,1600
626,750,10400
627,142,2700
628,650,7500
629,69,1700
630,100,2600
631,300,8000
632,190,2740
633,115,4500
634,119,1200
635,100,1890
636,55,1087
637,44,3000
638,316,8000
639,83,3500
640,1000,14980
641,150,4800
642,53,4200
643,49,970
644,185,2200
645,40,1200
646,65,1140
647,67,1560
648,46,2200
649,205,2200
650,550,9000
651,50,650
652,266,10900
653,280,8000
654,1600,7600
655,70,2400
656,84,2340
657,40,1000
658,117,4110
659,68,3430
660,140,2800
661,450,13000
662,44,1350
663,40,3200
664,70,8250
665,50,900
666,405,4000
667,75,3160
668,80,1501
669,450,12000
670,225,7106
671,250,15000
672,60,2200
673,31,3400
674,100,2000
675,20,1050
676,200,7000
677,50,1690
678,61,2200
679,200,9800
680,100,11000
681,365,13900
682,38,3000
683,49,1350
684,207,12000
685,82,1500
686,400,4000
687,170,9000
688,105,2890
689,383,3004
690,168,2700
691,53,2400
692,320,4500
693,300,9900
694,100,2200
695,40,900
696,180,2500
697,257,7500
698,178,7000
699,179,12000
700,64,1750
701,60,990
702,55,2200
703,50,1970
704,82,1994
705,60,1210
706,40,1200
707,230,5100
708,73,1300
709,79,2000
710,230,4800
711,214,14000
712,120,1500
713,200,2500
714,85,3300
715,45,5520
716,30,755
717,57,2300
718,500,15000
719,322,15000
720,20,1530
721,100,1346
722,620,15000
723,240,2500
724,95,7000
725,35,2100
726,325,8900
727,58,2800
728,200,9000
729,92,1100
730,65,1545
731,57,800
732,50,1600
733,165,9500
734,70,1900
735,230,4000
736,34,2000
737,25,660
738,50,1800
739,120,2975
740,60,1400
741,67,2240
742,22,2100
743,197,2100
744,105,2300
745,80,1556
746,140,2500
747,70,4000
748,383,10000
749,172,9000
750,57,1800
751,32,2000
752,341,5500
753,600,10500
754,43,2000
755,98,1233
756,36,1790
757,42,2800
758,120,2700
759,78,1400
760,113,4000
761,47,1390
762,60,1300
763,77,1130
764,75,1500
765,60,1550
766,240,5800
767,48,3400
768,70,1300
769,345,3500
770,250,15000
771,158,3500
772,55,1300
773,80,1820
774,42,2200
775,80,4450
776,50,1550
777,380,15000
778,85,5300
779,120,3250
780,214,3251
781,277,3800
782,50,1080
783,90,2000
784,287,6000
785,11,2000
786,62,1620
787,45,3100
788,80,1650
789,115,4890
790,110,1800
791,162,7000
792,85,1800
793,105,1900
794,180,3000
795,80,831
796,56,2200
797,70,1200
798,70,1200
799,75,1000
800,420,6500
801,279,3500
802,160,2400
803,41,1100
804,97,2200
805,40,1400
806,110,3600
807,298,2500
808,87,1600
809,150,3700
810,113,2975
811,293,2600
812,90,2000
813,305,9000
814,50,1040
815,150,3300
816,367,15000
817,50,2350
818,230,8000
819,125,5500
820,140,1350
821,63,1800
822,110,3300
823,54,1610
824,67,1523
825,296,8864
826,70,1000
827,50,1100
828,160,3500
829,60,2200
830,220,8000
831,340,13000
832,52,1150
833,50,915
834,60,2200
835,125,2450
836,36,1080
837,100,1500
838,550,11500
839,60,1105
840,48,500
841,164,9000
842,90,1200
843,78,2800
844,44,1125
845,180,2950
846,82,1200
847,49,2900
848,400,13970
849,74,3200
850,110,1500
851,58,3500
852,23,1540
853,95,2500
854,196,5000
855,70,2300
856,148,1650
857,70,1280
858,30,2300
859,300,2700
860,53,2600
861,96,3148
862,190,6000
863,250,6000
864,130,2150
865,250,4250
866,50,650
867,840,8000
868,95,1999
869,33,1305
870,60,1350
871,51,4950
872,200,8000
873,212,4500
874,66,1525
875,150,3102
876,48,1270
877,90,2500
878,136,4000
879,40,3000
880,100,1700
881,32,1200
882,30,3300
883,170,5500
884,184,3240
885,368,5000
886,230,7000
887,214,11000
888,37,2000
889,450,5540
890,87,2000
891,70,1300
892,54,1250
893,155,3300
894,35,1100
895,160,4500
896,95,1400
897,113,3000
898,70,850
899,131,1800
900,130,3200
901,72,1300
902,130,1280
903,80,1300
904,50,2800
905,54,2000
906,130,2800
907,230,3500
908,50,1100
909,100,2800
910,40,970
911,75,12000
912,30,1200
913,68,1800
914,117,2700
915,600,12000
916,126,1610
917,290,2500
918,120,1500
919,35,1600
920,40,970
921,56,2000
922,53,800
923,270,15000
924,150,1100
925,40,980
926,31,3280
927,50,1275
928,347,7000
929,70,1800
930,75,1200
931,90,1105
932,200,1190
933,201,5933
934,37,1400
935,75,2200
936,42,1650
937,148,1700
938,200,3000
939,216,13000
940,300,8300
941,73,1350
942,77,4200
943,50,850
944,480,14000
945,300,4000
946,180,4900
947,68,1600
948,62,1550
949,62,3230
950,212,1500
951,340,10000
952,280,10000
953,250,7200
954,64,1600
955,25,2100
956,37,3250
957,51,1100
958,75,1600
959,40,972
960,25,700
961,340,4800
962,60,2650
963,90,1680
964,120,8900
965,200,8000
966,168,3250
967,212,10000
968,40,2400
969,78,2440
970,340,9800
971,300,10000
972,181,5500
973,68,6443
974,600,15000
975,138,2700
976,65,1200
977,44,2000
978,600,9000
979,53,1300
980,340,12000
981,183,3800
982,80,3300
983,50,2800
984,293,1050
985,80,1800
986,30,1318
987,150,2000
988,70,2010
989,85,2300
990,500,7900
991,49,1220
992,325,11500
993,35,2570
994,270,7500
995,540,15000
996,150,11000
997,300,5000
998,42,2500
999,126,1700
1000,67,2099
1001,80,2000
1002,85,1900
1003,290,5600
1004,274,3000
1005,46,970
1006,50,860
1007,42,1600
1008,55,1195
1009,55,1200
1010,80,3260
1011,42,2300
1012,70,1275
1013,78,1935
1014,55,1100
1015,63,1120
1016,57,2550
1017,78,1330
1018,140,6740
1019,71,1300
1020,845,8499
1021,70,1100
1022,40,595
1023,82,3100
1024,31,3200
1025,62,3900
1026,156,3510
1027,300,4340
1028,35,750
1029,40,1600
1030,39,1700
1031,100,1800
1032,60,1100
1033,43,1250
1034,120,12000
1035,90,1360
1036,170,10500
1037,154,5400
1038,108,4800
1039,20,1800
1040,200,2300
1041,800,8900
1042,43,1750
1043,125,850
1044,28,1390
1045,37,2600
1046,60,2430
1047,121,2560
1048,600,7500
1049,161,2750
1050,60,1350
1051,60,1700
1052,55,2300
1053,90,3000
1054,65,1500
1055,18,700
1056,345,12750
1057,50,1190
1058,230,12500
1059,100,1850
1060,136,4206
1061,263,3500
1062,65,1700
1063,166,2100
1064,20,1800
1065,308,3900
1066,400,10600
1067,140,3000
1068,47,550
1069,178,8300
1070,100,1500
1071,62,4800
1072,390,8600
1073,217,9000
1074,280,9000
1075,30,2500
1076,39,2500
1077,118,1230
1078,42,1900
1079,120,9920
1080,174,4745
1081,450,10000
1082,50,900
1083,50,7070
1084,80,2000
1085,134,2900
1086,188,4000
1087,90,4850
1088,340,5000
1089,110,2800
1090,58,2673
1091,37,1840
1092,280,8000
1093,220,8000
1094,272,11000
1095,49,2000
1096,54,773
1097,68,500
1098,227,12000
1099,350,15000
1100,116,2600
1101,130,5600
1102,94,3500
1103,330,4600
1104,230,11000
1105,55,900
1106,148,3300
1107,500,5500
1108,184,3240
1109,250,5000
1110,306,8000
1111,20,1050
1112,60,920
1113,130,6200
1114,450,12000
1115,113,2500
1116,66,1170
1117,83,960
1118,83,3655
1119,50,4600
1120,52,3350
1121,250,3210
1122,121,3100
1123,85,7100
1124,152,4700
1125,32,1700
1126,311,14000
1127,97,3000
1128,250,8440
1129,32,1400
1130,360,8540
1131,24,870
1132,55,3190
1133,83,1250
1134,87,2600
1135,64,850
1136,25,1350
1137,30,2001
1138,500,1810
1139,75,2750
1140,205,6500
1141,88,1200
1142,60,1800
1143,70,1100
1144,100,1700
1145,37,628
1146,45,1050
1147,330,8500
1148,35,2800
1149,144,2300
1150,70,1200
1151,68,2083
1152,101,5250
1153,33,2000
1154,200,5800
1155,80,1439
1156,74,1290
1157,65,1500
1158,111,5000
1159,380,9000
1160,60,1720
1161,300,4250
1162,72,2400
1163,75,2750
1164,70,1400
1165,360,4600
1166,23,1580
1167,100,3500
1168,150,4100
1169,57,2480
1170,180,3270
1171,360,5000
1172,120,2200
1173,45,900
1174,30,900
1175,40,3000
1176,130,4500
1177,68,831
1178,70,1000
1179,77,3000
1180,220,5500
1181,55,720
1182,70,1300
1183,250,12000
1184,110,5550
1185,151,2000
1186,45,700
1187,40,2600
1188,98,1100
1189,70,1000
1190,205,10000
1191,40,1080
1192,100,3600
1193,55,1200
1194,288,12000
1195,70,3400
1196,70,2000
1197,100,2780
1198,72,1600
1199,20,980
1200,360,2820
1201,150,4680
1202,130,2443
1203,22,2100
1204,53,3110
1205,53,1000
1206,642,9050
1207,240,9900
1208,450,6500
1209,57,850
1210,130,2600
1211,53,2350
1212,39,2600
1213,850,13000
1214,35,1305
1215,67,1300
1216,120,2600
1217,200,5000
1218,69,1300
1219,60,540
1220,30,890
1221,30,1200
1222,650,13000
1223,80,1500
1224,35,977
1225,135,4100
1226,60,1800
1227,80,1070
1228,80,1500
1229,160,4750
1230,135,8700
1231,340,4000
1232,35,3507
1233,38,806
1234,81,1630
1235,150,5950
1236,126,4200
1237,71,1443
1238,20,1800
1239,55,750
1240,76,2800
1241,40,2800
1242,400,12500
1243,70,1000
1244,38,2800
1245,80,1500
1246,64,1200
1247,300,10000
1248,71,4000
1249,25,3500
1250,1000,15000
1251,196,8440
1252,48,1190
1253,315,20000
1254,184,4000
1255,450,9000
1256,102,2000
1257,135,2040
1258,41,3000
1259,144,2196
1260,110,1000
1261,43,1870
1262,450,15000
1263,70,1600
1264,220,3230
1265,52,5000
1266,198,5500
1267,30,1500
1268,217,10300
1269,290,6800
1270,70,1450
1271,45,2500
1272,40,1675
1273,180,4348
1274,90,1200
1275,26,1178
1276,629,15000
1277,120,3000
1278,49,600
1279,44,1250
1280,427,10000
1281,286,4000
1282,88,1600
1283,120,7000
1284,74,3560
1285,350,3500
1286,80,1600
1287,63,4300
1288,22,1600
1289,94,1300
1290,60,1600
1291,190,4000
1292,78,2500
1293,300,9000
1294,211,2880
1295,84,1100
1296,300,3825
1297,497,8000
1298,71,2500
1299,138,1000
1300,120,2480
1301,110,3500
1302,30,2800
1303,386,12750
1304,70,2000
1305,120,1700
1306,300,3560
1307,40,780
1308,210,7500
1309,62,2100
1310,84,1820
1311,23,2050
1312,140,6599
1313,40,2100
1314,148,2400
1315,75,2300
1316,40,650
1317,77,4200
1318,90,1800
1319,300,3800
1320,98,3050
1321,64,2800
1322,100,3500
1323,80,1500
1324,110,4400
1325,40,1000
1326,80,1800
1327,17,2700
1328,137,4600
1329,230,6000
1330,90,1700
1331,347,8900
1332,200,15000
1333,56,1300
1334,650,8500
1335,30,1200
1336,52,1250
1337,120,5000
1338,50,1010
1339,120,2000
1340,80,4800
1341,58,4700
1342,89,1100
1343,250,9800
1344,242,4250
1345,55,2200
1346,45,1100
1347,204,6800
1348,37,1200
1349,50,2640
1350,73,1200
1351,180,4100
1352,300,6500
1353,71,1300
1354,284,6600
1355,37,555
1356,35,750
1357,190,4200
1358,67,1600
1359,98,2882
1360,260,8000
1361,139,3870
1362,76,2200
1363,150,3000
1364,51,1100
1365,120,1700
1366,42,1050
1367,180,2800
1368,65,4200
1369,420,12000
1370,90,1400
1371,44,1700
1372,240,6500
1373,280,6350
1374,120,3300
1375,140,2300
1376,65,1750
1377,52,3600
1378,199,8750
1379,71,2700
1380,42,2800
1381,420,15000
1382,169,2800
1383,170,1500
1384,45,1650
1385,60,2700
1386,76,1450
1387,47,2200
1388,22,2200
1389,63,1800
1390,33,3600
1391,96,2300
1392,573,10000
1393,84,2400
1394,400,8700
1395,150,1950
1396,120,2040
1397,78,1700
1398,20,1800
1399,117,2100
1400,40,2090
1401,50,1059
1402,80,1300
1403,65,2600
1404,90,1125
1405,76,5600
1406,85,3000
1407,76,2800
1408,92,1839
1409,150,4600
1410,515,15000
1411,91,1350
1412,161,15000
1413,64,1400
1414,59,2200
1415,150,4200
1416,90,5500
1417,30,1800
1418,127,3200
1419,48,2300
1420,90,4500
1421,20,1800
1422,82,3300
1423,66,2500
1424,81,2800
1425,170,4200
1426,280,3000
1427,70,1400
1428,69,2500
1429,143,2500
1430,50,1250
1431,102,2500
1432,60,1200
1433,265,2400
1434,76,2750
1435,96,8500
1436,70,1800
1437,140,12000
1438,81,2810
1439,52,1500
1440,298,8000
1441,70,1600
1442,92,1536
1443,190,9300
1444,42,700
1445,40,2500
1446,312,15000
1447,106,2100
1448,110,3700
1449,384,8000
1450,69,1200
1451,82,4500
1452,500,15000
1453,130,4500
1454,55,1500
1455,170,2800
1456,183,2400
1457,336,6000
1458,45,5520
1459,40,1700
1460,45,1300
1461,180,2550
1462,23,2100
1463,53,500
1464,100,4000
1465,400,8700
1466,92,2720
1467,420,3500
1468,78,2800
1469,70,1800
1470,500,8000
1471,130,2000
1472,24,2000
1473,125,2000
1474,242,4500
1475,69,1199
1476,135,3250
1477,43,620
1478,565,14850
1479,62,1296
1480,112,1900
1481,31,2500
1482,89,3550
1483,100,2200
1484,65,6000
1485,60,2362
1486,75,1950
1487,41,1150
1488,100,3300
1489,288,3700
1490,400,5200
1491,240,15000
1492,80,1150
1493,43,1000
1494,25,1200
1495,49,2000
1496,40,970
1497,71,1500
1498,50,1430
1499,44,1800
1500,400,7200
1501,225,3800
1502,82,2200
1503,102,1760
1504,981,7000
1505,25,700
1506,230,3000
1507,280,5200
1508,69,1350
1509,58,1600
1510,58,1050
1511,64,730
1512,84,2180
1513,35,1100
1514,78,1600
1515,55,980
1516,250,15000
1517,110,4860
1518,206,3500
1519,150,4250
1520,180,9000
1521,330,6500
1522,68,1100
1523,280,6000
1524,85,1500
1525,55,1530
1526,90,2800
1527,96,1200
1528,250,2125
1529,80,1800
1530,41,2800
1531,75,2500
1532,800,9000
1533,45,1000
1534,74,5000
1535,160,3700
1536,50,1500
1537,126,10000
1538,65,4000
1539,120,4000
1540,150,4200
1541,76,2500
1542,226,15000
1543,22,976
1544,154,6500
1545,56,1630
1546,212,4200
1547,62,1300
1548,80,7800
1549,420,12000
1550,32,750
1551,30,3000
1552,70,1000
1553,200,6000
1554,25,1330
1555,42,3696
1556,135,4250
1557,47,900
1558,35,880
1559,75,2236
1560,300,3000
1561,45,2300
1562,850,10000
1563,140,3000
1564,60,1222
1565,50,1250
1566,150,2860
1567,160,7693
1568,334,8600
1569,330,9800
1570,38,1800
1571,280,3000
1572,200,6500
1573,100,8500
1574,80,1400
1575,267,4800
1576,130,3500
1577,70,2450
1578,213,6200
1579,35,780
1580,312,15000
1581,160,2500
1582,22,2000
1583,400,10000
1584,45,2100
1585,237,8000
1586,180,13000
1587,30,1805
1588,13,2200
1589,140,6800
1590,62,1050
1591,76,1000
1592,220,4250
1593,143,3300
1594,44,650
1595,90,1450
1596,190,4800
1597,79,3100
1598,45,1800
1599,73,2400
1600,168,3600
1601,95,2500
1602,180,2001
1603,65,1390
1604,110,1850
1605,58,4700
1606,15,665
1607,213,3900
1608,162,5500
1609,49,3800
1610,32,1400
1611,78,2300
1612,240,5000
1613,150,1320
1614,60,1200
1615,160,3500
1616,74,3400
1617,280,7040
1618,42,850
1619,102,2975
1620,123,2174
1621,50,1000
1622,125,1700
1623,240,5500
1624,85,1999
1625,260,15000
1626,22,870
1627,278,7800
1628,18,1130
1629,196,5500
1630,26,3500
1631,100,3500
1632,460,10000
1633,189,6500
1634,226,6000
1635,418,6875
1636,660,5000
1637,120,1112
1638,70,1100
1639,400,10900
1640,82,1500
1641,210,15000
1642,92,1900
1643,64,1400
1644,35,1350
1645,120,2690
1646,16,1200
1647,60,950
1648,223,3300
1649,50,800
1650,30,940
1651,111,3500
1652,290,7150
1653,80,1328
1654,353,10000
1655,55,1990
1656,49,1000
1657,50,850
1658,182,6000
1659,42,3800
1660,500,14000
1661,56,1200
1662,170,4600
1663,160,5000
1664,70,1300
1665,120,2400
1666,65,1650
1667,300,5500
1668,140,12000
1669,108,2100
1670,220,2500
1671,157,4900
1672,101,3120
1673,87,2000
1674,123,2000
1675,67,2479
1676,200,4480
1677,48,1720
1678,51,700
1679,54,1300
1680,280,5650
1681,172,7800
1682,136,15000
1683,300,15000
1684,26,2300
1685,52,1172
1686,72,1200
1687,240,7000
1688,100,7500
1689,145,11960
1690,60,1950
1691,260,2000
1692,28,1100
1693,25,1000
1694,45,1920
1695,115,1950
1696,48,800
1697,150,8000
1698,160,3800
1699,700,10000
1700,340,7650
1701,25,1513
1702,79,1290
1703,35,1600
1704,270,3500
1705,156,5000
1706,50,2800
1707,60,1900
1708,140,4000
1709,53,1680
1710,200,4220
1711,125,2100
1712,160,9350
1713,300,9500
1714,175,3700
1715,158,8000
1716,110,2850
1717,168,2500
1718,120,3500
1719,230,15000
1720,255,6000
1721,23,2300
1722,120,2500
1723,45,1800
1724,154,2000
1725,50,4520
1726,104,7000
1727,50,2430
1728,75,1400
1729,145,2000
1730,211,7000
1731,30,2060
1732,170,3700
1733,86,1900
1734,230,3000
1735,61,4000
1736,383,3004
1737,210,5500
1738,60,5650
1739,213,8500
1740,93,3900
1741,50,5300
1742,149,4500
1743,410,20000
1744,40,3175
1745,46,1500
1746,378,10000
1747,60,3800
1748,180,8500
1749,70,1450
1750,68,2100
1751,85,1800
1752,140,2281
1753,52,1650
1754,63,2600
1755,65,3300
1756,60,950
1757,27,1167
1758,260,15000
1759,44,1200
1760,170,4850
1761,118,4775
1762,114,3780
1763,154,2800
1764,108,15000
1765,147,3600
1766,365,12000
1767,109,2423
1768,148,2500
1769,250,6000
1770,79,1000
1771,66,2400
1772,54,1370
1773,87,1200
1774,640,10200
1775,71,1040
1776,35,1250
1777,57,2300
1778,38,1220
1779,70,3700
1780,350,3300
1781,300,12000
1782,80,1320
1783,160,2900
1784,117,5500
1785,112,4100
1786,100,1870
1787,160,4230
1788,68,700
1789,530,5000
1790,210,3500
1791,33,3300
1792,40,1100
1793,200,6000
1794,58,1360
1795,120,3400
1796,162,3200
1797,301,12500
1798,40,1800
1799,45,1000
1800,135,3060
1801,135,3290
1802,102,5525
1803,76,1400
1804,180,8500
1805,72,1250
1806,128,4339
1807,60,2362
1808,44,2500
1809,189,5800
1810,450,4000
1811,286,10800
1812,276,4500
1813,60,3800
1814,40,880
1815,57,1800
1816,45,600
1817,42,3500
1818,68,1100
1819,120,4800
1820,360,11050
1821,140,1650
1822,35,1100
1823,16,910
1824,110,1100
1825,69,980
1826,59,1400
1827,336,7677
1828,210,5000
1829,242,12000
1830,28,550
1831,220,9000
1832,62,1629
1833,111,3500
1834,159,2500
1835,70,2250
1836,150,2000
1837,50,4000
1838,450,5015
1839,64,850
1840,600,5200
1841,70,3200
1842,76,1240
1843,280,6520
1844,172,11000
1845,246,12000
1846,64,1500
1847,30,550
1848,80,2170
1849,87,1800
1850,50,800
1851,50,800
1852,30,1850
1853,43,1472
1854,300,10000
1855,58,750
1856,30,1660
1857,54,1700
1858,80,3500
1859,62,1600
1860,66,1200
1861,80,1500
1862,560,15000
1863,30,3900
1864,50,1600
1865,81,3500
1866,218,4930
1867,54,1200
1868,60,1200
1869,100,1200
1870,156,13590
1871,300,4000
1872,39,2500
1873,150,3000
1874,140,6170
1875,240,4200
1876,70,1300
1877,462,5000
1878,67,890
1879,100,1200
1880,113,1100
1881,99,2500
1882,120,2100
1883,110,2600
1884,38,980
1885,100,1090
1886,135,4200
1887,130,3250
